dna_plate_id,dna_plate_well,silly,fish_id,tissue_type,sex,origin,date,comment,silly_source,sample,dwp_barcode,dwp_well,length_mm_meh,otolith_mark_present,otolith_mark_id,hatchery,intertidal
63218,F6,PSPRIN14,157,Heart-bulbus arteriosus,male,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_157,1300001616_8,1300001616,8,416,NO,NA,NA,NA
63218,G6,PSPRIN14,171,Heart-bulbus arteriosus,female,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_171,1300001615_3,1300001615,3,419,NO,NA,NA,NA
63218,H6,PSPRIN14,173,Heart-bulbus arteriosus,female,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_173,1300001615_5,1300001615,5,NA,NO,NA,NA,NA
63218,B7,PSPRIN14,176,Heart-bulbus arteriosus,male,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_176,1300001615_8,1300001615,8,NA,NO,NA,NA,NA
63218,C7,PSPRIN14,179,Heart-bulbus arteriosus,male,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_179,1300001615_11,1300001615,11,415,NO,NA,NA,NA
63218,D7,PSPRIN14,180,Heart-bulbus arteriosus,female,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_180,1300001615_12,1300001615,12,405,NO,NA,NA,NA
63218,E7,PSPRIN14,181,Heart-bulbus arteriosus,male,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_181,1300001615_13,1300001615,13,380,NO,NA,NA,NA
63218,F7,PSPRIN14,187,Heart-bulbus arteriosus,female,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_187,1300001615_19,1300001615,19,432,NO,NA,NA,NA
63218,G7,PSPRIN14,189,Heart-bulbus arteriosus,female,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_189,1300001615_21,1300001615,21,NA,NO,NA,NA,NA
63218,H7,PSPRIN14,193,Heart-bulbus arteriosus,female,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_193,1300001615_25,1300001615,25,395,NO,NA,NA,NA
63218,A8,PSPRIN14,196,Heart-bulbus arteriosus,female,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_196,1300001615_28,1300001615,28,NA,NO,NA,NA,NA
63218,B8,PSPRIN14,201,Heart-bulbus arteriosus,female,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_201,1300001615_33,1300001615,33,420,NO,NA,NA,NA
63218,C8,PSPRIN14,207,Heart-bulbus arteriosus,female,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_207,1300001615_39,1300001615,39,405,NO,NA,NA,NA
