Lab Project ID,Plate ID,Silly Code,Fish,Well,Tissue Type
2666,63215,PSTOCK16,7001,D9,Heart-bulbus arteriosus
2666,63215,PSTOCK16,7508,D11,Heart-bulbus arteriosus
2666,63215,PSTOCK16,7546,E11,Heart-bulbus arteriosus
2666,63215,PSTOCK16,7558,F11,Heart-bulbus arteriosus
2666,63215,PSTOCK16,7645,G11,Heart-bulbus arteriosus
2666,63215,PSTOCK16,7657,A11,Heart-bulbus arteriosus
2666,63215,PSTOCK16,7691,H11,Heart-bulbus arteriosus
2666,63215,PSTOCK16,7945,A12,Heart-bulbus arteriosus
2666,63215,PSTOCK16,8040,B12,Heart-bulbus arteriosus
2666,63215,PSTOCK16,8049,C12,Heart-bulbus arteriosus
2666,63215,PSTOCK16,8050,D12,Heart-bulbus arteriosus
2666,63215,PSTOCK16,8103,E12,Heart-bulbus arteriosus
2666,63215,PSTOCK16,8173,F12,Heart-bulbus arteriosus
2666,63215,PSTOCK16,8407,G12,Heart-bulbus arteriosus
2666,63216,PHOGAN16,88,D10,Heart-bulbus arteriosus
2666,63216,PHOGAN16,379,E10,Heart-bulbus arteriosus
2666,63216,PHOGAN16,710,F10,Heart-bulbus arteriosus
2666,63216,PHOGAN16,805,A11,Heart-bulbus arteriosus
2666,63216,PHOGAN16,958,B11,Heart-bulbus arteriosus
2666,63216,PHOGAN16,984,C11,Heart-bulbus arteriosus
2666,63216,PHOGAN16,1116,D11,Heart-bulbus arteriosus
2666,63216,PHOGAN16,1147,E11,Heart-bulbus arteriosus
2666,63216,PHOGAN16,2248,F11,Heart-bulbus arteriosus
2666,63216,PHOGAN16,2413,G11,Heart-bulbus arteriosus
2666,63216,PHOGAN16,2676,H11,Heart-bulbus arteriosus
2666,63216,PHOGAN16,2808,A12,Heart-bulbus arteriosus
2666,63216,PHOGAN16,3011,B12,Heart-bulbus arteriosus
2666,63216,PHOGAN16,3038,C12,Heart-bulbus arteriosus
2666,63216,PHOGAN16,3042,D12,Heart-bulbus arteriosus
2666,63216,PHOGAN16,3233,E12,Heart-bulbus arteriosus
2666,63216,PHOGAN16,3348,F12,Heart-bulbus arteriosus
2666,63216,PHOGAN16,4008,G12,Heart-bulbus arteriosus
2666,63216,PSTOCK15,271,D1,Heart-bulbus arteriosus
2666,63216,PSTOCK15,367,E1,Heart-bulbus arteriosus
2666,63216,PSTOCK15,427,F1,Heart-bulbus arteriosus
2666,63216,PSTOCK15,502,G1,Heart-bulbus arteriosus
2666,63216,PSTOCK15,762,H1,Heart-bulbus arteriosus
2666,63216,PSTOCK15,772,A2,Heart-bulbus arteriosus
2666,63216,PSTOCK15,808,B2,Heart-bulbus arteriosus
2666,63216,PSTOCK15,1019,C2,Heart-bulbus arteriosus
2666,63216,PSTOCK15,1355,D2,Heart-bulbus arteriosus
2666,63216,PSTOCK15,1376,E2,Heart-bulbus arteriosus
2666,63216,PSTOCK15,1527,F2,Heart-bulbus arteriosus
2666,63216,PSTOCK15,1530,G2,Heart-bulbus arteriosus
2666,63216,PSTOCK15,1546,H2,Heart-bulbus arteriosus
2666,63216,PSTOCK15,1553,A3,Heart-bulbus arteriosus
2666,63216,PSTOCK15,1765,B3,Heart-bulbus arteriosus
2666,63216,PSTOCK15,1951,C3,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2013,D3,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2152,E3,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2436,F3,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2498,G3,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2504,H3,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2585,A4,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2594,B4,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2625,C4,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2720,E4,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2905,F4,Heart-bulbus arteriosus
2666,63216,PSTOCK15,2908,G4,Heart-bulbus arteriosus
2666,63216,PSTOCK15,3011,H4,Heart-bulbus arteriosus
2666,63216,PSTOCK15,3014,A5,Heart-bulbus arteriosus
2666,63216,PSTOCK15,3028,B5,Heart-bulbus arteriosus
2666,63216,PSTOCK15,3607,C5,Heart-bulbus arteriosus
2666,63216,PSTOCK15,3764,D5,Heart-bulbus arteriosus
2666,63216,PSTOCK15,3895,E5,Heart-bulbus arteriosus
2666,63216,PSTOCK15,3928,F5,Heart-bulbus arteriosus
2666,63216,PSTOCK15,4093,H5,Heart-bulbus arteriosus
2666,63216,PSTOCK15,4193,A6,Heart-bulbus arteriosus
2666,63216,PSTOCK15,4279,B6,Heart-bulbus arteriosus
2666,63216,PSTOCK15,4653,C6,Heart-bulbus arteriosus
2666,63216,PSTOCK15,4678,D6,Heart-bulbus arteriosus
2666,63216,PSTOCK15,5108,E6,Heart-bulbus arteriosus
2666,63216,PSTOCK15,5154,F6,Heart-bulbus arteriosus
2666,63216,PSTOCK15,5175,G6,Heart-bulbus arteriosus
2666,63216,PSTOCK15,5438,H6,Heart-bulbus arteriosus
2666,63216,PSTOCK15,5472,A7,Heart-bulbus arteriosus
2666,63216,PSTOCK15,5635,B7,Heart-bulbus arteriosus
2666,63216,PSTOCK15,5645,C7,Heart-bulbus arteriosus
2666,63216,PSTOCK15,5675,D7,Heart-bulbus arteriosus
2666,63216,PSTOCK15,6222,E7,Heart-bulbus arteriosus
2666,63216,PSTOCK15,6481,F7,Heart-bulbus arteriosus
2666,63216,PSTOCK15,6541,G7,Heart-bulbus arteriosus
2666,63216,PSTOCK15,6547,H7,Heart-bulbus arteriosus
2666,63216,PSTOCK15,6693,A8,Heart-bulbus arteriosus
2666,63216,PSTOCK15,6864,B8,Heart-bulbus arteriosus
2666,63216,PSTOCK15,6872,C8,Heart-bulbus arteriosus
2666,63216,PSTOCK15,7031,D8,Heart-bulbus arteriosus
2666,63216,PSTOCK15,7197,E8,Heart-bulbus arteriosus
2666,63216,PSTOCK15,7228,F8,Heart-bulbus arteriosus
2666,63216,PSTOCK15,7287,G8,Heart-bulbus arteriosus
2666,63216,PSTOCK15,7477,H8,Heart-bulbus arteriosus
